text,date
"ED HNERY describes the newest batch of 7,800 e-mails from Hillary Clinton: ","June 12, 2017 "
,"October 9, 2017 "
"The media continues to lie about jobs numbers but we know better than that. Here s a chart to share to anyone and everyone:In what was an  unambiguously  unpleasant April jobs payrolls report, with a March revision dragging that month s job gain to the lowest level since June of 2012, the fact that the number of Americans not in the labor force rose once again, this time to 93,194K from 93,175K, with the result being a participation rate of 69.45 or just above the lowest percentage since 1977, will merely catalyze even more upside to the so called  market  which continues to reflect nothing but central bank liquidity, and thus   the accelerating deterioration of the broader economy.READ MORE: ZERO HEDGE","October 17, 2017 "
"Embattled Fox News host Bill O Reilly announced on Tuesday that he will be going off the air for almost two weeks, to take a vacation.The anchor s announcement comes amid an ongoing controversy over sexual harassment allegations made against him and a new report that James Murdoch wants him out of the company for good.The exodus of sponsors followed a recent report in The New York Times that five women were paid a total of $13million to keep quiet about harassment allegations.The accusations surrounding O Reilly, which date back 15 years, include claims of dirty phone calls, unwanted kisses and hotel room invites. The assumption is that he ll exit in a non-embarrassing way,  one senior Fox News staffer told the magazine.O Reilly declined to share where he was heading, but has launched an online contest for fans to vote on where they think his vacation destination is. He made the point that the time off was voluntary.Bill O Reilly kept his announcement to leave FOX News for a two-week vacation upbeat:The claims prompted 60 sponsors to drop advertising deals with the prime time show and led to an internal investigation.Four network sources told New York Magazine that it s possible O Reilly s getaway could turn into a permanent vacation.The Murdoch family, the owners of Fox, are reportedly split on what to do about O Reilly. Rupert Murdoch and his eldest son Lachlan are said to be inclined to keep O Reilly, while younger son James   the CEO of 21st Century Fox   wants to give him the boot.James also pushed to fire Roger Ailes amid last summer s sex scandal, and sources think he could be successful in weeding out O Reilly this time around.  Daily MailJames Murdoch is said to have convinced his father, 76, to  go green  in a major May 9 speech. In the speech, Rupert Murdoch sounded like Al Gore, saying that  Climate change poses clear, catastrophic threats  and that  We may not agree on the extent, but we certainly can t afford the risk of inaction. Marc Gunther of Fortune magazine commented that  Murdoch has boldly promised to make News Corp. carbon neutral by 2010 and to weave environmental issues and themes into his newspapers, TV shows, movies and online properties-a tricky business, particularly when it comes to news.  (emphasis added)The Hillary front organization known as Media Matters has challenged Murdoch to rein in the various Fox News personalities, including Hannity, who have voiced skepticism about the man-made global warming theory. The group complains that conservative voices on Fox far outnumber  progressive  voices and that Fox anchors, reporters, and guests inject pro-Republican views into the shows.Murdoch s decision to hand the European and Asian operations of his company to his son James has been widely interpreted as a sign that James will soon inherit control of the entire company. That means that James  liberal philosophy on environmental and other matters could become the party line not only of News Corporation but the Fox News Channel.The New York Times has described James Murdoch as  steadfastly liberal  and notes that he  has supported Bill Clinton and Al Gore whose daughter he befriended at Harvard.    Aim ","May 25, 2016 "
,"November 22, 2017 "
"Not because she s an unlikeable elitist liar, with no fresh ideas, who felt entitled to the White House.What s even more absurd than the left s inability to accept REALITY, is the fact that no one spread more FAKE NEWS than liberals and even Hillary herself.  TruthfeedRush Limbaugh brilliantly exposes the lies Hillary told in this montage: ","March 16, 2017 "
There s just something about Shrillary that almost makes you wonder if everything she does has to be staged Watch how differently Marco Rubio is able to handle an impromptu interview with this TMZ reporter vs Hillary Clinton (below):,"December 20, 2017 "
"This jogger is a perfect example of how indoctrinated youth grow up to be well, just stupid people. Don t let this happen to your children. Get involved in their education, ask questions about discussions they re having in school. You have no one to blame but yourself if your child grows up to be this stupid:","September 27, 2017 "
Riiiight just  choose from what works  ,"December 19, 2017 "
"The heartbreaking story of two parents who put their leftist ideology before their own son The parents of GOP Senate candidate Kevin Nicholson have maxed out their campaign contributions to the Democrat he s challenging, CNN reported Monday.Each of Nicholson s parents gave $2,700 to Sen. Tammy Baldwin s (D-Wis.) campaign in December, the largest amount they can give during the Democratic primary.Nicholson s mother, Donna, has been documented as giving thousands of dollars to Democratic candidates over the years. However, this is the first gift either of his parents have made to Baldwin s campaign since Nicholson announced his own bid. My parents have a different worldview than I do, and it is not surprising that they would support a candidate like Tammy Baldwin who shares their perspective,  Nicholson said in a statement to CNN. I m a conservative today not because I was born one, but because of the experience I earned as a Marine in combat, my experience as a husband and father, my choice to be a Christian, the schools I chose to attend and the decision to pursue the career that I have,  he continued. Regardless of who may disagree with my life decisions, I would not trade these experiences for anything, and they will always guide my views as Wisconsin s next U.S. Senator. Nicholson announced in July that he would be running in the GOP primary for Baldwin s seat.He faced questions about his political views over his past position as president of the College Democrats of America and his speech at the Democratic National Convention in 2000.However, Nicholson told Politico last year that he permanently changed parties after he served in Iraq in 2007. I knew what we were doing there,  he told Politico.  We were stabilizing that country. We made incredible amounts of progress. And what I was hearing back home was a complete and absolute lie, as politicians were running around calling it a failure.   The Hill","June 9, 2017 "
